Date;Price
01.04.2018;6804.52487931035
02.04.2018;7033.25960958504
03.04.2018;7420.80051548802
04.04.2018;6780.54360140269
05.04.2018;6798.42261659848
06.04.2018;6610.49234979544
07.04.2018;6886.46947194623
08.04.2018;7009.99610432496
09.04.2018;6736.89282378726
10.04.2018;6816.71861542957
11.04.2018;6944.78585710111
12.04.2018;7904.33027527762
13.04.2018;7919.06469462303
14.04.2018;8006.41794330801
15.04.2018;8342.27110140269
16.04.2018;8046.98213354763
17.04.2018;7887.73795791935
18.04.2018;8162.83486177674
19.04.2018;8272.96731589714
20.04.2018;8839.5011320865
21.04.2018;8863.54082904734
22.04.2018;8800.95908708358
23.04.2018;8930.78463354763
24.04.2018;9652.21378872005
25.04.2018;8855.50893658679
26.04.2018;9264.72742694331
27.04.2018;8981.33079018118
28.04.2018;9341.82468468732
29.04.2018;9396.99762974869
30.04.2018;9228.7264836353
01.05.2018;9072.16875745178
02.05.2018;9204.12764056108
03.05.2018;9750.70014640561
04.05.2018;9696.64290999416
05.05.2018;9795.92577206312
06.05.2018;9595.08681940386
07.05.2018;9339.5108471654
08.05.2018;9212.36963471654
09.05.2018;9293.04227352425
10.05.2018;9037.53050905903
11.05.2018;8419.75858737581
12.05.2018;8485.77526680304
13.05.2018;8695.83309380479
14.05.2018;8671.07417475161
15.05.2018;8488.463421391
16.05.2018;8327.75620134424
17.05.2018;8050.51623933372
18.05.2018;8233.08645528931
19.05.2018;8229.48293571011
20.05.2018;8511.44883021625
21.05.2018;8398.62312653419
22.05.2018;8007.52653214495
23.05.2018;7520.86767913501
24.05.2018;7575.62448597312
25.05.2018;7425.37567445938
26.05.2018;7326.30318644068
27.05.2018;7338.19304441847
28.05.2018;7110.82388164816
29.05.2018;7453.63372501461
30.05.2018;7374.6690490941
31.05.2018;7478.74186703682
01.06.2018;7519.83573728814
02.06.2018;7637.44825306838
03.06.2018;7702.15793308007
04.06.2018;7486.65319959088
05.06.2018;7611.14985271771
06.06.2018;7650.77580713033
07.06.2018;7665.9478962595
08.06.2018;7622.60233021625
09.06.2018;7556.17169783752
10.06.2018;6744.73580099357
11.06.2018;6849.45268731736
12.06.2018;6526.69968001169
13.06.2018;6306.51316803039
14.06.2018;6629.77012419638
15.06.2018;6399.67404646406
16.06.2018;6495.31530917592
17.06.2018;6450.69397282291
18.06.2018;6703.81258971362
19.06.2018;6732.50880917592
20.06.2018;6753.20682583285
21.06.2018;6720.37323436587
22.06.2018;6059.5758591467
23.06.2018;6174.22577936879
24.06.2018;6146.48719491526
25.06.2018;6243.53544097019
26.06.2018;6096.12876621859
27.06.2018;6139.18968322618
28.06.2018;5858.63577819988
29.06.2018;6220.9137150789
30.06.2018;6375.5412314436
01.07.2018;6361.40253886616
02.07.2018;6608.367157218
03.07.2018;6498.3078591467
04.07.2018;6579.33337638808
05.07.2018;6535.29840268849
06.07.2018;6598.45909585038
07.07.2018;6737.85608036236
08.07.2018;6704.91998012858
09.07.2018;6664.02409351257
10.07.2018;6309.08400409118
11.07.2018;6377.97651139684
12.07.2018;6159.46667621274
13.07.2018;6208.98557188779
14.07.2018;6255.11247866744
15.07.2018;6347.60427381648
16.07.2018;6710.80743746347
17.07.2018;7320.59482787843
18.07.2018;7376.03833927528
19.07.2018;7467.0342980713
20.07.2018;7327.25668293396
21.07.2018;7410.56562039743
22.07.2018;7399.48374693162
23.07.2018;7716.15862741087
24.07.2018;8397.61652162478
25.07.2018;8202.72039538282
26.07.2018;7913.93077819989
27.07.2018;8173.7746113384
28.07.2018;8190.36005669199
29.07.2018;8229.60583869083
30.07.2018;8171.83951928697
31.07.2018;7725.13303594389
01.08.2018;7596.6980119813
02.08.2018;7542.69466189363
03.08.2018;7411.34425014611
04.08.2018;7002.2086528346
05.08.2018;7031.58775102279
06.08.2018;6929.99089421391
07.08.2018;6722.57843278784
08.08.2018;6267.3886735827
09.08.2018;6558.09690794857
10.08.2018;6135.75185856224
11.08.2018;6313.74931180596
12.08.2018;6314.69165575687
13.08.2018;6265.84804383402
14.08.2018;6184.82908562244
15.08.2018;6270.21479865576
16.08.2018;6290.7504552893
17.08.2018;6563.07828872005
18.08.2018;6399.28744681473
19.08.2018;6490.71612711865
20.08.2018;6272.95272881356
21.08.2018;6473.07603945061
22.08.2018;6365.00983167738
23.08.2018;6516.40902542373
24.08.2018;6697.73187872589
25.08.2018;6745.43893921683
26.08.2018;6689.86933313852
27.08.2018;6839.15895236704
28.08.2018;7092.97380829924
29.08.2018;7033.42806808884
30.08.2018;6966.96374371713
31.08.2018;7025.14078024547
01.09.2018;7192.35254734074
02.09.2018;7286.66779105786
03.09.2018;7257.47021391
04.09.2018;7358.81147895967
05.09.2018;6790.89732846289
06.09.2018;6488.07593687902
07.09.2018;6408.65362244301
08.09.2018;6187.79050233781
09.09.2018;6249.24631034483
10.09.2018;6295.3886025716
11.09.2018;6278.42463968439
12.09.2018;6327.53636323787
13.09.2018;6490.91231648159
14.09.2018;6494.69547895967
15.09.2018;6524.16566744594
16.09.2018;6497.40470134424
17.09.2018;6258.59487492694
18.09.2018;6340.34779018118
19.09.2018;6383.95187580362
20.09.2018;6498.60711104617
21.09.2018;6741.14289888954
22.09.2018;6705.47605113969
23.09.2018;6703.13684950321
24.09.2018;6576.5450032145
25.09.2018;6416.44402162478
26.09.2018;6463.25040356517
27.09.2018;6677.90048860316
28.09.2018;6623.12615984804
29.09.2018;6584.49914757452
30.09.2018;6604.485028346
01.10.2018;6561.81383226184
02.10.2018;6508.72093863238
03.10.2018;6464.45684365868
